INFO 2024-08-10 14:43:34,607 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\_compat_pickle.py first seen with mtime 1722342095.9636805
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\html\entities.py first seen with mtime 1722342017.5962572
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\formats.py first seen with mtime 1722342987.6199226
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1722342975.58071
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\getpass.py first seen with mtime 1722342017.5900896
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\charset.py first seen with mtime 1722341993.287235
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1722342987.8276062
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\threads.py first seen with mtime 1722341993.1283526
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\http\cookie.py first seen with mtime 1722342987.2472131
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\base_futures.py first seen with mtime 1722341993.1109257
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\tasks.py first seen with mtime 1722341993.1273718
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\warnings.py first seen with mtime 1722342090.217103
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1722342972.1750154
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\files\locks.py first seen with mtime 1722342985.6423583
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\operator.py first seen with mtime 1722342057.138068
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\hashlib.py first seen with mtime 1722342017.5940697
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\pickle.py first seen with mtime 1723024925.6291573
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\logging\handlers.py first seen with mtime 1723024915.4749365
